,Unnamed: 0,sentence_no,word,predicted_tag,POS_Tags,tag
0,0,0,SECTION,O,NN,O
1,1,0,.,O,.,O
2,2,1,XI,O,NN,O
3,3,1,(,O,(,O
4,4,1,Kirmirabadha,O,NNP,O
5,5,1,Parva,B-LIT&ART,NNP,O
6,6,1,),O,),O
7,7,1,'',O,'',O
8,8,1,Dhritarashtra,B-PER,NNP,O
9,9,1,said,O,VBD,O
10,10,1,",",O,",",O
11,11,1,'O,O,'',O
12,12,1,Kshatta,B-PER,NNP,O
13,13,1,",",O,",",O
14,14,1,I,O,PRP,O
15,15,1,am,O,VBP,O
16,16,1,desirous,O,JJ,O
17,17,1,to,O,TO,O
18,18,1,hear,O,VB,O
19,19,1,of,O,IN,O
20,20,1,the,O,DT,O
21,21,1,destruction,O,NN,O
22,22,1,of,O,IN,O
23,23,1,Kirmira,O,NNP,O
24,24,1,!,O,.,O
25,25,2,Do,O,VB,O
26,26,2,thou,O,NNS,O
27,27,2,tell,O,VB,O
28,28,2,me,O,PRP,O
29,29,2,how,O,WRB,O
30,30,2,the,O,DT,O
31,31,2,encounter,O,NN,O
32,32,2,took,O,VBD,O
33,33,2,place,O,NN,O
34,34,2,between,O,IN,O
35,35,2,the,O,DT,O
36,36,2,Rakshasa,B-COMMUNITY,NNP,O
37,37,2,and,O,CC,O
38,38,2,Bhimasena,B-PER,NNP,O
39,39,2,!,O,.,O
40,40,2,',O,'',O
41,41,3,``,O,``,O
42,42,3,Vidura,B-PER,NNP,O
43,43,3,said,O,VBD,O
44,44,3,",",O,",",O
45,45,3,'Listen,O,'',O
46,46,3,to,O,TO,O
47,47,3,the,O,DT,O
48,48,3,story,O,NN,O
49,49,3,of,O,IN,O
50,50,3,that,O,DT,O
51,51,3,feat,O,NN,O
52,52,3,of,O,IN,O
53,53,3,Bhimasena,B-PER,NNP,O
54,54,3,of,O,IN,O
55,55,3,super,O,JJ,O
56,56,3,human,O,JJ,O
57,57,3,achievements,O,NNS,O
58,58,3,!,O,.,O
59,59,4,I,O,PRP,O
60,60,4,have,O,VBP,O
61,61,4,often,O,RB,O
62,62,4,heard,O,VBN,O
63,63,4,of,O,IN,O
64,64,4,it,O,PRP,O
65,65,4,in,O,IN,O
66,66,4,course,O,NN,O
67,67,4,of,O,IN,O
68,68,4,my,O,PRP$,O
69,69,4,conversation,O,NN,O
70,70,4,with,O,IN,O
71,71,4,the,O,DT,O
72,72,4,Pandavas,B-COMMUNITY,NNP,O
73,73,4,(,O,(,O
74,74,4,while,O,IN,O
75,75,4,I,O,PRP,O
76,76,4,was,O,VBD,O
77,77,4,with,O,IN,O
78,78,4,them,O,PRP,O
79,79,4,),O,),O
80,80,4,'O,O,VBZ,O
81,81,4,foremost,O,NN,O
82,82,4,of,O,IN,O
83,83,4,kings,O,NNS,O
84,84,4,",",O,",",O
85,85,4,defeated,O,VBN,O
86,86,4,at,O,IN,O
87,87,4,dice,O,NN,O
88,88,4,the,O,DT,O
89,89,4,Pandavas,B-COMMUNITY,NNP,O
90,90,4,departed,O,VBD,O
91,91,4,from,O,IN,O
92,92,4,hence,O,NN,O
93,93,4,and,O,CC,O
94,94,4,travelling,O,NN,O
95,95,4,for,O,IN,O
96,96,4,three,O,CD,O
97,97,4,days,O,NNS,O
98,98,4,and,O,CC,O
99,99,4,nights,O,NNS,O
100,100,4,they,O,PRP,O
101,101,4,at,O,IN,O
102,102,4,length,O,NN,O
103,103,4,reached,O,VBD,O
104,104,4,those,O,DT,O
105,105,4,woods,O,NNS,O
106,106,4,that,O,WDT,O
107,107,4,go,O,VBP,O
108,108,4,by,O,IN,O
109,109,4,the,O,DT,O
110,110,4,name,O,NN,O
111,111,4,of,O,IN,O
112,112,4,Kamyaka,B-PLACE,NNP,O
113,113,4,.,O,.,O
114,114,5,O,O,NNP,O
115,115,5,king,O,NN,O
116,116,5,",",O,",",O
117,117,5,just,O,RB,O
118,118,5,after,O,IN,O
119,119,5,the,O,DT,O
120,120,5,dreadful,O,JJ,O
121,121,5,hour,O,NN,O
122,122,5,of,O,IN,O
123,123,5,midnight,O,NN,O
124,124,5,when,O,WRB,O
125,125,5,all,O,DT,O
126,126,5,nature,O,NN,O
127,127,5,is,O,VBZ,O
128,128,5,asleep,O,RB,O
129,129,5,",",O,",",O
130,130,5,when,O,WRB,O
131,131,5,man-eating,O,JJ,O
132,132,5,Rakshasas,B-COMMUNITY,NNP,O
133,133,5,of,O,IN,O
134,134,5,terrible,O,JJ,O
135,135,5,deeds,O,NNS,O
136,136,5,begin,O,VBP,O
137,137,5,to,O,TO,O
138,138,5,wander,O,VB,O
139,139,5,",",O,",",O
140,140,5,the,O,DT,O
141,141,5,ascetics,O,NNS,O
142,142,5,and,O,CC,O
143,143,5,the,O,DT,O
144,144,5,cowherds,O,NNS,O
145,145,5,and,O,CC,O
146,146,5,other,O,JJ,O
147,147,5,rangers,O,NNS,O
148,148,5,of,O,IN,O
149,149,5,the,O,DT,O
150,150,5,forest,O,NN,O
151,151,5,used,O,VBN,O
152,152,5,to,O,TO,O
153,153,5,shun,O,VB,O
154,154,5,the,O,DT,O
155,155,5,woods,O,NNS,O
156,156,5,of,O,IN,O
157,157,5,Kamyaka,B-PLACE,NNP,O
158,158,5,and,O,CC,O
159,159,5,fly,O,VB,O
160,160,5,to,O,TO,O
161,161,5,a,O,DT,O
162,162,5,distance,O,NN,O
163,163,5,from,O,IN,O
164,164,5,fear,O,NN,O
165,165,5,of,O,IN,O
166,166,5,cannibals,O,NNS,O
167,167,5,.,O,.,O
168,168,6,And,O,CC,O
169,169,6,",",O,",",O
170,170,6,O,O,NNP,O
171,171,6,Bharata,B-PLACE,NNP,O
172,172,6,",",O,",",O
173,173,6,as,O,IN,O
174,174,6,the,O,DT,O
175,175,6,Pandavas,B-COMMUNITY,NNP,O
176,176,6,were,O,VBD,O
177,177,6,at,O,IN,O
178,178,6,this,O,DT,O
179,179,6,hour,O,NN,O
180,180,6,entering,O,VBG,O
181,181,6,those,O,DT,O
182,182,6,woods,O,NNS,O
183,183,6,a,O,DT,O
184,184,6,fearful,O,JJ,O
185,185,6,Rakshasa,O,NNP,O
186,186,6,of,O,IN,O
187,187,6,flaming,O,VBG,O
188,188,6,eyes,O,NNS,O
189,189,6,appeared,O,VBD,O
190,190,6,before,O,IN,O
191,191,6,them,O,PRP,O
192,192,6,with,O,IN,O
193,193,6,a,O,DT,O
194,194,6,lighted,O,JJ,O
195,195,6,brand,O,NN,O
196,196,6,",",O,",",O
197,197,6,obstructing,O,VBG,O
198,198,6,their,O,PRP$,O
199,199,6,path,O,NN,O
200,200,6,.,O,.,O
201,201,7,And,O,CC,O
202,202,7,with,O,IN,O
203,203,7,outstretched,O,JJ,O
204,204,7,arms,O,NNS,O
205,205,7,and,O,CC,O
206,206,7,terrible,O,JJ,O
207,207,7,face,O,NN,O
208,208,7,",",O,",",O
209,209,7,he,O,PRP,O
210,210,7,stood,O,VBD,O
211,211,7,obstructing,O,VBG,O
212,212,7,the,O,DT,O
213,213,7,way,O,NN,O
214,214,7,on,O,IN,O
215,215,7,which,O,WDT,O
216,216,7,those,O,DT,O
217,217,7,perpetuators,O,NNS,O
218,218,7,of,O,IN,O
219,219,7,the,O,DT,O
220,220,7,Kuru,B-COMMUNITY,NNP,O
221,221,7,race,O,NN,O
222,222,7,were,O,VBD,O
223,223,7,proceeding,O,VBG,O
224,224,7,.,O,.,O
225,225,8,With,O,IN,O
226,226,8,eight,O,CD,O
227,227,8,teeth,O,NNS,O
228,228,8,standing,O,VBG,O
229,229,8,out,O,RP,O
230,230,8,",",O,",",O
231,231,8,with,O,IN,O
232,232,8,eyes,O,NNS,O
233,233,8,of,O,IN,O
234,234,8,coppery,O,NN,O
235,235,8,hue,O,NN,O
236,236,8,",",O,",",O
237,237,8,and,O,CC,O
238,238,8,with,O,IN,O
239,239,8,the,O,DT,O
240,240,8,hair,O,NN,O
241,241,8,of,O,IN,O
242,242,8,his,O,PRP$,O
243,243,8,head,O,NN,O
244,244,8,blazing,O,NN,O
245,245,8,and,O,CC,O
246,246,8,standing,O,VBG,O
247,247,8,erect,O,NN,O
248,248,8,",",O,",",O
249,249,8,the,O,DT,O
250,250,8,fiend,O,NN,O
251,251,8,looked,O,VBD,O
252,252,8,like,O,IN,O
253,253,8,a,O,DT,O
254,254,8,mass,O,NN,O
255,255,8,of,O,IN,O
256,256,8,clouds,O,NNS,O
257,257,8,reflecting,O,VBG,O
258,258,8,the,O,DT,O
259,259,8,rays,O,NNS,O
260,260,8,of,O,IN,O
261,261,8,the,O,DT,O
262,262,8,sun,O,NN,O
263,263,8,or,O,CC,O
264,264,8,mingled,O,VBN,O
265,265,8,with,O,IN,O
266,266,8,lightning,O,VBG,O
267,267,8,flashes,O,NNS,O
268,268,8,and,O,CC,O
269,269,8,graced,O,VBN,O
270,270,8,with,O,IN,O
271,271,8,flocks,O,NNS,O
272,272,8,of,O,IN,O
273,273,8,cranes,O,NNS,O
274,274,8,underneath,O,IN,O
275,275,8,on,O,IN,O
276,276,8,their,O,PRP$,O
277,277,8,wings,O,NNS,O
278,278,8,.,O,.,O
279,279,9,And,O,CC,O
280,280,9,uttering,O,VBG,O
281,281,9,frightful,O,JJ,O
282,282,9,yells,O,NNS,O
283,283,9,and,O,CC,O
284,284,9,roaring,O,VBG,O
285,285,9,like,O,IN,O
286,286,9,a,O,DT,O
287,287,9,mass,O,NN,O
288,288,9,of,O,IN,O
289,289,9,clouds,O,NNS,O
290,290,9,charged,O,VBN,O
291,291,9,with,O,IN,O
292,292,9,rain,O,NN,O
293,293,9,",",O,",",O
294,294,9,the,O,DT,O
295,295,9,fiend,O,NN,O
296,296,9,began,O,VBD,O
297,297,9,to,O,TO,O
298,298,9,spread,O,VB,O
299,299,9,the,O,DT,O
300,300,9,illusion,O,NN,O
301,301,9,proper,O,NN,O
302,302,9,to,O,TO,O
303,303,9,his,O,PRP$,O
304,304,9,species,O,NNS,O
305,305,9,.,O,.,O
306,306,10,Hearing,O,VBG,O
307,307,10,that,O,DT,O
308,308,10,terrible,O,JJ,O
309,309,10,roar,O,NN,O
310,310,10,",",O,",",O
311,311,10,birds,O,NNS,O
312,312,10,along,O,IN,O
313,313,10,with,O,IN,O
314,314,10,other,O,JJ,O
315,315,10,creatures,O,NNS,O
316,316,10,that,O,WDT,O
317,317,10,live,O,VBP,O
318,318,10,on,O,IN,O
319,319,10,land,O,NN,O
320,320,10,or,O,CC,O
321,321,10,in,O,IN,O
322,322,10,water,O,NN,O
323,323,10,",",O,",",O
324,324,10,began,O,VBD,O
325,325,10,to,O,TO,O
326,326,10,drop,O,VB,O
327,327,10,down,O,RP,O
328,328,10,in,O,IN,O
329,329,10,all,O,DT,O
330,330,10,directions,O,NNS,O
331,331,10,",",O,",",O
332,332,10,uttering,O,VBG,O
333,333,10,cries,O,NNS,O
334,334,10,of,O,IN,O
335,335,10,fear,O,NN,O
336,336,10,.,O,.,O
337,337,11,And,O,CC,O
338,338,11,in,O,IN,O
339,339,11,consequence,O,NN,O
340,340,11,of,O,IN,O
341,341,11,the,O,DT,O
342,342,11,deer,O,NN,O
343,343,11,and,O,CC,O
344,344,11,the,O,DT,O
345,345,11,leopards,O,NNS,O
346,346,11,and,O,CC,O
347,347,11,the,O,DT,O
348,348,11,buffaloes,O,NNS,O
349,349,11,and,O,CC,O
350,350,11,the,O,DT,O
351,351,11,bears,O,NNS,O
352,352,11,flying,O,VBG,O
353,353,11,about,O,IN,O
354,354,11,in,O,IN,O
355,355,11,all,O,DT,O
356,356,11,directions,O,NNS,O
357,357,11,",",O,",",O
358,358,11,it,O,PRP,O
359,359,11,seemed,O,VBD,O
360,360,11,as,O,IN,O
361,361,11,if,O,IN,O
362,362,11,the,O,DT,O
363,363,11,forest,O,JJS,O
364,364,11,itself,O,PRP,O
365,365,11,was,O,VBD,O
366,366,11,in,O,IN,O
367,367,11,motion,O,NN,O
368,368,11,.,O,.,O
369,369,12,And,O,CC,O
370,370,12,swayed,O,VBN,O
371,371,12,by,O,IN,O
372,372,12,the,O,DT,O
373,373,12,wind,O,NN,O
374,374,12,raised,O,VBN,O
375,375,12,by,O,IN,O
376,376,12,the,O,DT,O
377,377,12,sighs,O,NNS,O
378,378,12,of,O,IN,O
379,379,12,the,O,DT,O
380,380,12,Rakshasa,B-COMMUNITY,NNP,O
381,381,12,",",O,",",O
382,382,12,creepers,O,NNS,O
383,383,12,growing,O,VBG,O
