,Unnamed: 0,sentence_no,word,predicted_tag,POS_Tags,tag
0,0,0,SECTION,O,NN,O
1,1,0,LIX,O,NNP,O
2,2,0,Vaisampayana,B-PER,NNP,O
3,3,0,said,O,VBD,O
4,4,0,",",O,",",O
5,5,0,--,O,:,O
6,6,0,'',O,'',O
7,7,0,When,O,WRB,O
8,8,0,the,O,DT,O
9,9,0,play,O,NN,O
10,10,0,commenced,O,VBD,O
11,11,0,",",O,",",O
12,12,0,all,O,PDT,O
13,13,0,those,O,DT,O
14,14,0,kings,O,NNS,O
15,15,0,with,O,IN,O
16,16,0,Dhritarashtra,B-PER,NNP,O
17,17,0,at,O,IN,O
18,18,0,their,O,PRP$,O
19,19,0,head,O,NN,O
20,20,0,took,O,VBD,O
21,21,0,their,O,PRP$,O
22,22,0,seats,O,NNS,O
23,23,0,in,O,IN,O
24,24,0,that,O,DT,O
25,25,0,assembly,O,NN,O
26,26,0,.,O,.,O
27,27,1,And,O,CC,O
28,28,1,",",O,",",O
29,29,1,O,O,NNP,O
30,30,1,Bharata,B-PLACE,NNP,O
31,31,1,",",O,",",O
32,32,1,Bhishma,B-PER,NNP,O
33,33,1,and,O,CC,O
34,34,1,Drona,B-PER,NNP,O
35,35,1,and,O,CC,O
36,36,1,Kripa,B-PER,NNP,O
37,37,1,and,O,CC,O
38,38,1,the,O,DT,O
39,39,1,high-souled,O,JJ,O
40,40,1,Vidura,B-PER,NNP,O
41,41,1,with,O,IN,O
42,42,1,cheerless,O,NN,O
43,43,1,hearts,O,NNS,O
44,44,1,sat,O,VBD,O
45,45,1,behind,O,IN,O
46,46,1,.,O,.,O
47,47,2,And,O,CC,O
48,48,2,those,O,DT,O
49,49,2,kings,O,NNS,O
50,50,2,with,O,IN,O
51,51,2,leonine,O,NN,O
52,52,2,necks,O,NNS,O
53,53,2,and,O,CC,O
54,54,2,endued,O,VBN,O
55,55,2,with,O,IN,O
56,56,2,great,O,JJ,O
57,57,2,energy,O,NN,O
58,58,2,took,O,VBD,O
59,59,2,their,O,PRP$,O
60,60,2,seats,O,NNS,O
61,61,2,separately,O,RB,O
62,62,2,and,O,CC,O
63,63,2,in,O,IN,O
64,64,2,pairs,O,NNS,O
65,65,2,upon,O,IN,O
66,66,2,many,O,JJ,O
67,67,2,elevated,O,VBD,O
68,68,2,seats,O,NNS,O
69,69,2,of,O,IN,O
70,70,2,beautiful,O,JJ,O
71,71,2,make,O,NN,O
72,72,2,and,O,CC,O
73,73,2,colour,O,NN,O
74,74,2,.,O,.,O
75,75,3,And,O,CC,O
76,76,3,",",O,",",O
77,77,3,O,O,NNP,O
78,78,3,king,O,NN,O
79,79,3,",",O,",",O
80,80,3,that,O,DT,O
81,81,3,mansion,O,NN,O
82,82,3,looked,O,VBD,O
83,83,3,resplendent,O,NN,O
84,84,3,with,O,IN,O
85,85,3,those,O,DT,O
86,86,3,assembled,O,JJ,O
87,87,3,kings,O,NNS,O
88,88,3,like,O,IN,O
89,89,3,heaven,O,VBN,O
90,90,3,itself,O,PRP,O
91,91,3,with,O,IN,O
92,92,3,a,O,DT,O
93,93,3,conclave,O,NN,O
94,94,3,of,O,IN,O
95,95,3,the,O,DT,O
96,96,3,celestials,O,NNS,O
97,97,3,of,O,IN,O
98,98,3,great,O,JJ,O
99,99,3,good,O,JJ,O
100,100,3,fortune,O,NN,O
101,101,3,.,O,.,O
102,102,4,And,O,CC,O
103,103,4,they,O,PRP,O
104,104,4,were,O,VBD,O
105,105,4,all,O,DT,O
106,106,4,conversant,O,NN,O
107,107,4,with,O,IN,O
108,108,4,the,O,DT,O
109,109,4,Vedas,B-LIT&ART,NNP,O
110,110,4,and,O,CC,O
111,111,4,brave,O,VB,O
112,112,4,and,O,CC,O
113,113,4,of,O,IN,O
114,114,4,resplendent,O,JJ,O
115,115,4,countenances,O,NNS,O
116,116,4,.,O,.,O
117,117,5,And,O,CC,O
118,118,5,",",O,",",O
119,119,5,O,O,NNP,O
120,120,5,great,O,JJ,O
121,121,5,king,O,NN,O
122,122,5,",",O,",",O
123,123,5,the,O,DT,O
124,124,5,friendly,O,JJ,O
125,125,5,match,O,NN,O
126,126,5,at,O,IN,O
127,127,5,dice,O,NN,O
128,128,5,then,O,RB,O
129,129,5,commenced,O,VBD,O
130,130,5,.,O,.,O
131,131,6,Yudhishthira,B-PER,NNP,O
132,132,6,said,O,VBD,O
133,133,6,",",O,",",O
134,134,6,--,O,:,O
135,135,6,'',O,'',O
136,136,6,O,O,NNP,O
137,137,6,king,O,NN,O
138,138,6,",",O,",",O
139,139,6,this,O,DT,O
140,140,6,excellent,O,JJ,O
141,141,6,wealth,O,NN,O
142,142,6,of,O,IN,O
143,143,6,pearls,O,NN,O
144,144,6,of,O,IN,O
145,145,6,great,O,JJ,O
146,146,6,value,O,NN,O
147,147,6,",",O,",",O
148,148,6,procured,O,VBN,O
149,149,6,from,O,IN,O
150,150,6,the,O,DT,O
151,151,6,ocean,O,NN,O
152,152,6,by,O,IN,O
153,153,6,churning,O,VBG,O
154,154,6,it,O,PRP,O
155,155,6,(,O,(,O
156,156,6,of,O,IN,O
157,157,6,old,O,JJ,O
158,158,6,),O,),O
159,159,6,",",O,",",O
160,160,6,so,O,RB,O
161,161,6,beautiful,O,JJ,O
162,162,6,and,O,CC,O
163,163,6,decked,O,VBN,O
164,164,6,with,O,IN,O
165,165,6,pure,O,JJ,O
166,166,6,gold,O,NN,O
167,167,6,",",O,",",O
168,168,6,this,O,DT,O
169,169,6,",",O,",",O
170,170,6,O,O,NNP,O
171,171,6,king,O,NN,O
172,172,6,",",O,",",O
173,173,6,is,O,VBZ,O
174,174,6,my,O,PRP$,O
175,175,6,stake,O,NN,O
176,176,6,.,O,.,O
177,177,7,What,O,WP,O
178,178,7,is,O,VBZ,O
179,179,7,thy,O,JJ,O
180,180,7,counter,O,RB,O
181,181,7,stake,O,NN,O
182,182,7,",",O,",",O
183,183,7,O,O,NNP,O
184,184,7,great,O,JJ,O
185,185,7,king,O,NN,O
186,186,7,",",O,",",O
187,187,7,--,O,:,O
188,188,7,the,O,DT,O
189,189,7,wealth,O,NN,O
190,190,7,with,O,IN,O
191,191,7,which,O,WDT,O
192,192,7,thou,O,NN,O
193,193,7,wishest,O,NN,O
194,194,7,to,O,TO,O
195,195,7,play,O,VB,O
196,196,7,with,O,IN,O
197,197,7,me,O,PRP,O
198,198,7,?,O,.,O
199,199,7,'',O,'',O
200,200,8,``,O,``,O
201,201,8,Duryodhana,B-PER,NNP,O
202,202,8,said,O,VBD,O
203,203,8,",",O,",",O
204,204,8,--,O,:,O
205,205,8,'I,O,POS,O
206,206,8,have,O,VBP,O
207,207,8,many,O,JJ,O
208,208,8,jewels,O,NNS,O
209,209,8,and,O,CC,O
210,210,8,much,O,JJ,O
211,211,8,wealth,O,NN,O
212,212,8,.,O,.,O
213,213,9,But,O,CC,O
214,214,9,I,O,PRP,O
215,215,9,am,O,VBP,O
216,216,9,not,O,RB,O
217,217,9,vain,O,NN,O
218,218,9,of,O,IN,O
219,219,9,them,O,PRP,O
220,220,9,.,O,.,O
221,221,10,Win,O,NNP,O
222,222,10,thou,O,NN,O
223,223,10,this,O,DT,O
224,224,10,stake,O,NN,O
225,225,10,.,O,.,O
226,226,10,',O,'',O
227,227,11,Vaisampayana,B-PER,NNP,O
228,228,11,continued,O,VBD,O
229,229,11,",",O,",",O
230,230,11,--,O,:,O
231,231,11,'',O,'',O
232,232,11,Then,O,RB,O
233,233,11,Sakuni,B-PER,NNP,O
234,234,11,",",O,",",O
235,235,11,well-skilled,O,JJ,O
236,236,11,at,O,IN,O
237,237,11,dice,O,NN,O
238,238,11,",",O,",",O
239,239,11,took,O,VBD,O
240,240,11,up,O,RP,O
241,241,11,the,O,DT,O
242,242,11,dice,O,NNS,O
243,243,11,and,O,CC,O
244,244,11,(,O,(,O
245,245,11,casting,O,VBG,O
246,246,11,them,O,PRP,O
247,247,11,),O,),O
248,248,11,said,O,VBD,O
249,249,11,unto,O,JJ,O
250,250,11,Yudhishthira,B-PER,NNP,O
251,251,11,",",O,",",O
252,252,11,'Lo,O,NNP,O
253,253,11,",",O,",",O
254,254,11,I,O,PRP,O
255,255,11,have,O,VBP,O
256,256,11,won,O,VBN,O
257,257,11,!,O,.,O
258,258,11,',O,'',O
259,259,11,'',O,'',O
260,260,12,SECTION,O,NN,O
261,261,12,LX,O,NNP,O
262,262,12,Yudhishthira,B-PER,NNP,O
263,263,12,said,O,VBD,O
264,264,12,",",O,",",O
265,265,12,--,O,:,O
266,266,12,'',O,'',O
267,267,12,Thou,O,NNP,O
268,268,12,hast,O,VBD,O
269,269,12,won,O,VBD,O
270,270,12,this,O,DT,O
271,271,12,stake,O,NN,O
272,272,12,of,O,IN,O
273,273,12,me,O,PRP,O
274,274,12,by,O,IN,O
275,275,12,unfair,O,JJ,O
276,276,12,means,O,NNS,O
277,277,12,.,O,.,O
278,278,13,But,O,CC,O
279,279,13,be,O,VB,O
280,280,13,not,O,RB,O
281,281,13,so,O,RB,O
282,282,13,proud,O,JJ,O
283,283,13,",",O,",",O
284,284,13,O,O,NNP,O
285,285,13,Sakuni,B-PER,NNP,O
286,286,13,.,O,.,O
287,287,14,Let,O,VB,O
288,288,14,us,O,PRP,O
289,289,14,play,O,VB,O
290,290,14,staking,O,VBG,O
291,291,14,thousands,O,NNS,O
292,292,14,upon,O,IN,O
293,293,14,thousands,O,NNS,O
294,294,14,.,O,.,O
295,295,15,I,O,PRP,O
296,296,15,have,O,VBP,O
297,297,15,many,O,JJ,O
298,298,15,beautiful,O,JJ,O
299,299,15,jars,O,NNS,O
300,300,15,each,O,DT,O
301,301,15,full,O,JJ,O
302,302,15,of,O,IN,O
303,303,15,a,O,DT,O
304,304,15,thousand,O,NN,O
305,305,15,Nishkas,B-COMMUNITY,NNP,O
306,306,15,in,O,IN,O
307,307,15,my,O,PRP$,O
308,308,15,treasury,O,NN,O
309,309,15,",",O,",",O
310,310,15,inexhaustible,O,JJ,O
311,311,15,gold,O,NN,O
312,312,15,",",O,",",O
313,313,15,and,O,CC,O
314,314,15,much,O,RB,O
315,315,15,silver,O,NN,O
316,316,15,and,O,CC,O
317,317,15,other,O,JJ,O
318,318,15,minerals,O,NNS,O
319,319,15,.,O,.,O
320,320,16,This,O,DT,O
321,321,16,",",O,",",O
322,322,16,O,O,NNP,O
323,323,16,king,O,NN,O
324,324,16,",",O,",",O
325,325,16,is,O,VBZ,O
326,326,16,the,O,DT,O
327,327,16,wealth,O,NN,O
328,328,16,with,O,IN,O
329,329,16,which,O,WDT,O
330,330,16,I,O,PRP,O
331,331,16,will,O,MD,O
332,332,16,stake,O,NN,O
333,333,16,with,O,IN,O
334,334,16,thee,O,NN,O
335,335,16,!,O,.,O
336,336,16,',O,'',O
337,337,16,'',O,'',O
338,338,17,Vaisampayana,B-PER,NNP,O
339,339,17,continued,O,VBD,O
340,340,17,",",O,",",O
341,341,17,--,O,:,O
342,342,17,'',O,'',O
343,343,17,Thus,O,RB,O
344,344,17,addressed,O,VBD,O
345,345,17,",",O,",",O
346,346,17,Sakuni,B-PER,NNP,O
347,347,17,said,O,VBD,O
348,348,17,unto,O,IN,O
349,349,17,the,O,DT,O
350,350,17,chief,O,NN,O
351,351,17,of,O,IN,O
352,352,17,the,O,DT,O
353,353,17,perpetuators,O,NNS,O
354,354,17,of,O,IN,O
355,355,17,the,O,DT,O
356,356,17,Kuru,B-COMMUNITY,NNP,O
357,357,17,race,O,NN,O
358,358,17,",",O,",",O
359,359,17,the,O,DT,O
360,360,17,eldest,O,JJS,O
361,361,17,of,O,IN,O
362,362,17,the,O,DT,O
363,363,17,sons,O,NNS,O
364,364,17,of,O,IN,O
365,365,17,Pandu,B-PER,NNP,O
366,366,17,",",O,",",O
367,367,17,king,O,VBG,O
368,368,17,Yudhishthira,B-PER,NNP,O
369,369,17,",",O,",",O
370,370,17,of,O,IN,O
371,371,17,glory,O,NN,O
372,372,17,incapable,O,NN,O
373,373,17,of,O,IN,O
374,374,17,sustaining,O,VBG,O
375,375,17,any,O,DT,O
376,376,17,diminution,O,NN,O
377,377,17,.,O,.,O
378,378,18,'Lo,O,CD,O
379,379,18,",",O,",",O
380,380,18,I,O,PRP,O
381,381,18,have,O,VBP,O
382,382,18,won,O,VBN,O
383,383,18,!,O,.,O
384,384,18,',O,'',O
385,385,18,'',O,'',O
386,386,19,Yudhishthira,B-PER,NNP,O
387,387,19,said,O,VBD,O
388,388,19,",",O,",",O
389,389,19,--,O,:,O
390,390,19,'This,O,POS,O
391,391,19,my,O,PRP$,O
392,392,19,sacred,O,JJ,O
393,393,19,and,O,CC,O
394,394,19,victorious,O,JJ,O
395,395,19,and,O,CC,O
396,396,19,royal,O,NN,O
397,397,19,car,O,NN,O
398,398,19,which,O,WDT,O
399,399,19,gladdeneth,O,VBZ,O
400,400,19,the,O,DT,O
401,401,19,heart,O,NN,O
402,402,19,and,O,CC,O
403,403,19,hath,O,NN,O
404,404,19,carried,O,VBD,O
405,405,19,us,O,PRP,O
406,406,19,hither,O,NN,O
407,407,19,",",O,",",O
408,408,19,which,O,WDT,O
409,409,19,is,O,VBZ,O
410,410,19,equal,O,JJ,O
411,411,19,unto,O,IN,O
412,412,19,a,O,DT,O
413,413,19,thousand,O,CD,O
414,414,19,cars,O,NNS,O
415,415,19,",",O,",",O
416,416,19,which,O,WDT,O
417,417,19,is,O,VBZ,O
418,418,19,of,O,IN,O
419,419,19,symmetrical,O,JJ,O
420,420,19,proportions,O,NNS,O
421,421,19,and,O,CC,O
422,422,19,covered,O,VBN,O
423,423,19,with,O,IN,O
424,424,19,tiger-skin,O,JJ,O
425,425,19,",",O,",",O
426,426,19,and,O,CC,O
427,427,19,furnished,O,VBD,O
428,428,19,with,O,IN,O
429,429,19,excellent,O,JJ,O
430,430,19,wheels,O,NNS,O
431,431,19,and,O,CC,O
432,432,19,flag-staffs,O,NNS,O
433,433,19,which,O,WDT,O
434,434,19,is,O,VBZ,O
435,435,19,handsome,O,JJ,O
436,436,19,",",O,",",O
437,437,19,and,O,CC,O
438,438,19,decked,O,VBD,O
439,439,19,with,O,IN,O
440,440,19,strings,O,NNS,O
441,441,19,of,O,IN,O
442,442,19,little,O,JJ,O
443,443,19,bells,O,NNS,O
444,444,19,",",O,",",O
445,445,19,whose,O,WP$,O
446,446,19,clatter,O,NN,O
447,447,19,is,O,VBZ,O
448,448,19,even,O,RB,O
449,449,19,like,O,IN,O
450,450,19,the,O,DT,O
451,451,19,roar,O,NN,O
452,452,19,of,O,IN,O
453,453,19,the,O,DT,O
454,454,19,clouds,O,NN,O
455,455,19,or,O,CC,O
456,456,19,of,O,IN,O
457,457,19,the,O,DT,O
458,458,19,ocean,O,NN,O
459,459,19,",",O,",",O
460,460,19,and,O,CC,O
461,461,19,which,O,WDT,O
462,462,19,is,O,VBZ,O
463,463,19,drawn,O,VBN,O
464,464,19,by,O,IN,O
465,465,19,eight,O,CD,O
466,466,19,noble,O,JJ,O
467,467,19,steeds,O,NNS,O
468,468,19,known,O,VBN,O
469,469,19,all,O,DT,O
470,470,19,over,O,IN,O
471,471,19,the,O,DT,O
472,472,19,kingdom,O,NN,O
473,473,19,and,O,CC,O
474,474,19,which,O,WDT,O
475,475,19,are,O,VBP,O
476,476,19,white,O,JJ,O
477,477,19,as,O,IN,O
478,478,19,the,O,DT,O
479,479,19,moon-beam,O,NN,O
480,480,19,and,O,CC,O
481,481,19,from,O,IN,O
482,482,19,whose,O,WP$,O
483,483,19,hoofs,O,NN,O
484,484,19,no,O,DT,O
485,485,19,terrestrial,O,JJ,O
486,486,19,creature,O,NN,O
487,487,19,can,O,MD,O
488,488,19,escape,O,VB,O
489,489,19,--,O,:,O
490,490,19,this,O,DT,O
491,491,19,",",O,",",O
492,492,19,O,O,NNP,O
493,493,19,king,O,NN,O
494,494,19,",",O,",",O
495,495,19,is,O,VBZ,O
496,496,19,my,O,PRP$,O
497,497,19,wealth,O,NN,O
498,498,19,with,O,IN,O
499,499,19,which,O,WDT,O
