,Unnamed: 0,sentence_no,word,predicted_tag,POS_Tags,tag
0,0,0,(,O,(,O
1,1,0,Sambhava,B-LIT&ART,NNP,O
2,2,0,Parva,I-LIT&ART,NNP,O
3,3,0,continued,O,VBD,O
4,4,0,),O,),O
5,5,0,'',O,'',O
6,6,0,Vaisampayana,B-PER,NNP,O
7,7,0,said,O,VBD,O
8,8,0,",",O,",",O
9,9,0,'O,O,'',O
10,10,0,thou,O,NN,O
11,11,0,of,O,IN,O
12,12,0,Kuru,B-COMMUNITY,NNP,O
13,13,0,'s,O,POS,O
14,14,0,race,O,NN,O
15,15,0,",",O,",",O
16,16,0,after,O,IN,O
17,17,0,Chitrangada,B-PER,NNP,O
18,18,0,was,O,VBD,O
19,19,0,slain,O,VBN,O
20,20,0,",",O,",",O
21,21,0,his,O,PRP$,O
22,22,0,successor,O,NN,O
23,23,0,Vichitravirya,B-PER,NNP,O
24,24,0,being,O,VBG,O
25,25,0,a,O,DT,O
26,26,0,minor,O,NN,O
27,27,0,",",O,",",O
28,28,0,Bhishma,B-PER,NNP,O
29,29,0,ruled,O,VBD,O
30,30,0,the,O,DT,O
31,31,0,kingdom,O,NN,O
32,32,0,",",O,",",O
33,33,0,placing,O,VBG,O
34,34,0,himself,O,PRP,O
35,35,0,under,O,IN,O
36,36,0,the,O,DT,O
37,37,0,command,O,NN,O
38,38,0,of,O,IN,O
39,39,0,Satyavati,B-PER,NNP,O
40,40,0,.,O,.,O
41,41,1,When,O,WRB,O
42,42,1,he,O,PRP,O
43,43,1,saw,O,VBD,O
44,44,1,that,O,IN,O
45,45,1,his,O,PRP$,O
46,46,1,brother,O,NN,O
47,47,1,",",O,",",O
48,48,1,who,O,WP,O
49,49,1,was,O,VBD,O
50,50,1,the,O,DT,O
51,51,1,foremost,O,NN,O
52,52,1,of,O,IN,O
53,53,1,intelligent,O,JJ,O
54,54,1,men,O,NNS,O
55,55,1,",",O,",",O
56,56,1,attained,O,VBD,O
57,57,1,to,O,TO,O
58,58,1,majority,O,NN,O
59,59,1,",",O,",",O
60,60,1,Bhishma,B-PER,NNP,O
61,61,1,set,O,VBD,O
62,62,1,his,O,PRP$,O
63,63,1,heart,O,NN,O
64,64,1,upon,O,IN,O
65,65,1,marrying,O,VBG,O
66,66,1,Vichitravirya,B-PER,NNP,O
67,67,1,.,O,.,O
68,68,2,At,O,IN,O
69,69,2,this,O,DT,O
70,70,2,time,O,NN,O
71,71,2,he,O,PRP,O
72,72,2,heard,O,VBD,O
73,73,2,that,O,IN,O
74,74,2,the,O,DT,O
75,75,2,three,O,CD,O
76,76,2,daughters,O,NNS,O
77,77,2,of,O,IN,O
78,78,2,the,O,DT,O
79,79,2,king,O,NN,O
80,80,2,of,O,IN,O
81,81,2,Kasi,B-PLACE,NNP,O
82,82,2,",",O,",",O
83,83,2,all,O,DT,O
84,84,2,equal,O,JJ,O
85,85,2,in,O,IN,O
86,86,2,beauty,O,NN,O
87,87,2,to,O,TO,O
88,88,2,the,O,DT,O
89,89,2,Apsaras,B-COMMUNITY,NNP,O
90,90,2,themselves,O,PRP,O
91,91,2,",",O,",",O
92,92,2,would,O,MD,O
93,93,2,be,O,VB,O
94,94,2,married,O,VBN,O
95,95,2,on,O,IN,O
96,96,2,the,O,DT,O
97,97,2,same,O,JJ,O
98,98,2,occasion,O,NN,O
99,99,2,",",O,",",O
100,100,2,selecting,O,VBG,O
101,101,2,their,O,PRP$,O
102,102,2,husbands,O,NNS,O
103,103,2,at,O,IN,O
104,104,2,a,O,DT,O
105,105,2,self-choice,O,JJ,O
106,106,2,ceremony,O,NN,O
107,107,2,.,O,.,O
108,108,3,Then,O,RB,O
109,109,3,that,O,DT,O
110,110,3,foremost,O,NN,O
111,111,3,of,O,IN,O
112,112,3,car-warriors,O,NNS,O
113,113,3,",",O,",",O
114,114,3,that,O,IN,O
115,115,3,vanquisher,O,NN,O
116,116,3,of,O,IN,O
117,117,3,all,O,DT,O
118,118,3,foes,O,NNS,O
119,119,3,",",O,",",O
120,120,3,at,O,IN,O
121,121,3,the,O,DT,O
122,122,3,command,O,NN,O
123,123,3,of,O,IN,O
124,124,3,his,O,PRP$,O
125,125,3,mother,O,NN,O
126,126,3,",",O,",",O
127,127,3,went,O,VBD,O
128,128,3,to,O,TO,O
129,129,3,the,O,DT,O
130,130,3,city,O,NN,O
131,131,3,of,O,IN,O
132,132,3,Varanasi,O,NNP,O
133,133,3,in,O,IN,O
134,134,3,a,O,DT,O
135,135,3,single,O,JJ,O
136,136,3,chariot,O,NN,O
137,137,3,.,O,.,O
138,138,4,There,O,EX,O
139,139,4,Bhishma,B-PER,NNP,O
140,140,4,",",O,",",O
