,Unnamed: 0,sentence_no,word,predicted_tag,POS_Tags,tag
0,0,0,"""Vrihadaswa",O,JJ,O
1,1,0,"said,",O,NN,O
2,2,0,'O,O,POS,O
3,3,0,"Bharata,",O,NNP,O
4,4,0,hearing,O,VBG,O
5,5,0,those,O,DT,O
6,6,0,words,O,NNS,O
7,7,0,of,O,IN,O
8,8,0,the,O,DT,O
9,9,0,"swan,",O,NN,O
10,10,0,Damayanti,B-PER,NNP,O
11,11,0,thenceforth,O,NN,O
12,12,0,lost,O,VBD,O
13,13,0,all,O,DT,O
14,14,0,peace,O,NN,O
15,15,0,of,O,IN,O
16,16,0,mind,O,NN,O
17,17,0,on,O,IN,O
18,18,0,account,O,NN,O
19,19,0,of,O,IN,O
20,20,0,Nala.,O,NNP,O
21,21,0,And,O,CC,O
22,22,0,heaving,O,VBG,O
23,23,0,frequent,O,JJ,O
24,24,0,sighs,O,NNS,O
25,25,0,she,O,PRP,O
26,26,0,was,O,VBD,O
27,27,0,filled,O,VBN,O
28,28,0,with,O,IN,O
29,29,0,"anxiety,",O,NN,O
30,30,0,and,O,CC,O
31,31,0,became,O,VBD,O
32,32,0,melancholy,O,JJ,O
33,33,0,and,O,CC,O
34,34,0,pale-faced,O,JJ,O
35,35,0,and,O,CC,O
36,36,0,lean.,O,JJ,O
37,37,0,And,O,CC,O
38,38,0,with,O,IN,O
39,39,0,her,O,PRPS,O
40,40,0,heart,O,NN,O
41,41,0,possessed,O,VBN,O
42,42,0,by,O,IN,O
43,43,0,the,O,DT,O
44,44,0,god,O,NN,O
45,45,0,of,O,IN,O
46,46,0,"love,",O,JJ,O
47,47,0,she,O,PRP,O
48,48,0,soon,O,RB,O
49,49,0,lost,O,VBD,O
50,50,0,"colour,",O,NNS,O
51,51,0,and,O,CC,O
52,52,0,with,O,IN,O
53,53,0,her,O,PRPS,O
54,54,0,upturned,O,JJ,O
55,55,0,gaze,O,NN,O
56,56,0,and,O,CC,O
57,57,0,modes,O,NNS,O
58,58,0,of,O,IN,O
59,59,0,"abstraction,",O,NN,O
60,60,0,looked,O,VBD,O
61,61,0,like,O,IN,O
62,62,0,one,O,CD,O
63,63,0,demented.,O,NN,O
64,64,0,And,O,CC,O
65,65,0,she,O,PRP,O
66,66,0,lost,O,VBD,O
67,67,0,all,O,DT,O
68,68,0,inclination,O,NN,O
69,69,0,for,O,IN,O
70,70,0,beds,O,NNS,O
71,71,0,and,O,CC,O
72,72,0,seats,O,NNS,O
73,73,0,and,O,CC,O
74,74,0,object,O,NN,O
75,75,0,of,O,IN,O
76,76,0,enjoyment.,O,NN,O
77,77,0,And,O,CC,O
78,78,0,she,O,PRP,O
79,79,0,ceased,O,VBD,O
80,80,0,to,O,TO,O
81,81,0,lie,O,VB,O
82,82,0,down,O,RP,O
83,83,0,by,O,IN,O
84,84,0,day,O,NN,O
85,85,0,or,O,CC,O
86,86,0,"night,",O,NN,O
87,87,0,always,O,RB,O
88,88,0,weeping,O,VBG,O
89,89,0,with,O,IN,O
90,90,0,exclamation,O,NN,O
91,91,0,of,O,IN,O
92,92,0,Oh!,O,NNP,O
93,93,0,and,O,CC,O
94,94,0,Alas!,O,NNP,O
95,95,0,And,O,CC,O
96,96,0,beholding,O,VBG,O
97,97,0,her,O,PRPS,O
98,98,0,uneasy,O,JJ,O
99,99,0,and,O,CC,O
100,100,0,fallen,O,VBN,O
101,101,0,into,O,IN,O
102,102,0,that,O,DT,O
103,103,0,"condition,",O,VBZ,O
104,104,0,her,O,PRPS,O
105,105,0,hand-maids,O,JJ,O
106,106,0,"represented,",O,NN,O
107,107,0,O,O,NNP,O
108,108,0,"king,",O,VBZ,O
109,109,0,the,O,DT,O
110,110,0,matter,O,NN,O
111,111,0,of,O,IN,O
112,112,0,her,O,PRPS,O
113,113,0,illness,O,NN,O
114,114,0,unto,O,IN,O
115,115,0,the,O,DT,O
116,116,0,ruler,O,NN,O
117,117,0,of,O,IN,O
118,118,0,Vidarbha,B-PLACE,NNP,O
119,119,0,by,O,IN,O
120,120,0,indirect,O,JJ,O
121,121,0,hints.,O,NN,O
122,122,0,And,O,CC,O
123,123,0,king,O,VBG,O
124,124,0,"Bhima,",O,NNP,O
125,125,0,hearing,O,NN,O
126,126,0,of,O,IN,O
127,127,0,this,O,DT,O
128,128,0,from,O,IN,O
129,129,0,the,O,DT,O
130,130,0,handmaids,O,NNS,O
131,131,0,of,O,IN,O
132,132,0,"Damayanti,",O,NNP,O
133,133,0,regarded,O,VBD,O
134,134,0,the,O,DT,O
135,135,0,affair,O,NN,O
136,136,0,of,O,IN,O
137,137,0,his,O,PRPS,O
138,138,0,daughter,O,NN,O
139,139,0,to,O,TO,O
140,140,0,be,O,VB,O
141,141,0,serious.,O,JJ,O
142,142,0,And,O,CC,O
143,143,0,he,O,PRP,O
144,144,0,asked,O,VBD,O
145,145,0,"himself,",O,JJ,O
146,146,0,'Why,O,NNP,O
147,147,0,is,O,VBZ,O
148,148,0,it,O,PRP,O
149,149,0,that,O,IN,O
150,150,0,my,O,PRPS,O
151,151,0,daughter,O,NN,O
152,152,0,seemeth,O,NN,O
153,153,0,to,O,TO,O
154,154,0,be,O,VB,O
155,155,0,so,O,RB,O
156,156,0,ill,O,JJ,O
157,157,0,now?',O,NNS,O
158,158,0,And,O,CC,O
159,159,0,the,O,DT,O
160,160,0,"king,",O,NN,O
161,161,0,reflecting,O,VBG,O
162,162,0,by,O,IN,O
163,163,0,himself,O,PRP,O
164,164,0,that,O,IN,O
165,165,0,his,O,PRPS,O
